secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677110249,618902903,0.485450,0.517264,0.469092,0.656125,0.082574,0.227277,0.714861
1677110249,628332328,0.485695,0.517995,0.468905,0.655732,0.083957,0.226961,0.715161
1677110249,637951148,0.486135,0.518763,0.468739,0.654413,0.085805,0.228376,0.715699
1677110249,648311974,0.486317,0.519707,0.468482,0.654406,0.086539,0.227572,0.715873
1677110249,658386770,0.486618,0.520692,0.468259,0.654068,0.086984,0.227757,0.716069
1677110249,668929361,0.486774,0.521643,0.468012,0.653735,0.088331,0.227414,0.716318
1677110249,678840063,0.487042,0.522523,0.467820,0.653296,0.089367,0.227444,0.716581
1677110249,688488016,0.487240,0.523402,0.467610,0.652983,0.090445,0.227163,0.716819
1677110249,698324187,0.487477,0.524197,0.467427,0.652776,0.090890,0.227048,0.716988
1677110249,708950798,0.487582,0.524861,0.467222,0.652320,0.092303,0.226895,0.717271
1677110249,718811285,0.487840,0.525632,0.467019,0.652484,0.092587,0.227562,0.716874
1677110249,729381271,0.487880,0.526100,0.466739,0.652278,0.093587,0.226975,0.717117
1677110249,739033718,0.488013,0.526893,0.466513,0.653474,0.093560,0.227645,0.715818
1677110249,748900503,0.488087,0.527327,0.466250,0.653608,0.094117,0.228269,0.715424
1677110249,758272381,0.488118,0.527660,0.465935,0.653973,0.094260,0.228172,0.715103
1677110249,768234381,0.488155,0.528026,0.465610,0.654677,0.094577,0.229068,0.714130
1677110249,778335285,0.488250,0.528360,0.465231,0.655480,0.094103,0.229366,0.713359
1677110249,788794075,0.488331,0.528800,0.464873,0.656479,0.093750,0.230182,0.712224
1677110249,798649399,0.488375,0.529181,0.464443,0.657127,0.093774,0.230627,0.711478
1677110249,809390705,0.488453,0.529602,0.464025,0.657459,0.093670,0.231314,0.710962
1677110249,818535551,0.488381,0.530092,0.463544,0.658006,0.094477,0.231485,0.710293
1677110249,828710214,0.488565,0.530565,0.463108,0.658086,0.094313,0.232458,0.709924
1677110249,839069069,0.488604,0.530971,0.462579,0.658187,0.094769,0.232413,0.709783
1677110249,848750854,0.488687,0.531415,0.462065,0.658482,0.095372,0.233035,0.709225
1677110249,858404655,0.488738,0.531802,0.461520,0.658670,0.096042,0.233154,0.708921
1677110249,868647125,0.488852,0.532214,0.460948,0.658946,0.096418,0.233642,0.708452
1677110249,878810550,0.488853,0.532720,0.460344,0.659798,0.096805,0.233610,0.707617
1677110249,888928588,0.488979,0.533138,0.459748,0.659869,0.097542,0.234551,0.707138
1677110249,898320311,0.488951,0.533510,0.459065,0.659912,0.098110,0.234185,0.707141
1677110249,908936709,0.488929,0.533877,0.458423,0.659719,0.099007,0.234615,0.707053
1677110249,918434137,0.489036,0.534463,0.457793,0.660292,0.098951,0.235558,0.706212
1677110249,928895574,0.488948,0.534839,0.457103,0.660430,0.099762,0.235801,0.705888
1677110249,938724629,0.488943,0.535168,0.456429,0.660395,0.100124,0.236440,0.705656
1677110249,948757252,0.488904,0.535737,0.455759,0.661240,0.099876,0.237347,0.704594
1677110249,959257581,0.488723,0.536158,0.455000,0.661406,0.100045,0.238187,0.704131
1677110249,968593859,0.488459,0.536636,0.454228,0.661627,0.100177,0.239244,0.703546
1677110249,978674664,0.488144,0.537085,0.453360,0.661952,0.099887,0.239708,0.703123
1677110249,988715958,0.487917,0.537650,0.452485,0.662195,0.099607,0.241617,0.702280
1677110249,999340614,0.488009,0.538081,0.451555,0.661498,0.097389,0.243861,0.702473
1677110250,8578219,0.487525,0.538554,0.450567,0.661710,0.098234,0.244756,0.701844
1677110250,18556711,0.486887,0.539154,0.449504,0.662430,0.099480,0.244921,0.700931
1677110250,28649660,0.486477,0.539682,0.448461,0.662417,0.100356,0.246040,0.700426
1677110250,38619220,0.486119,0.540275,0.447396,0.662864,0.100980,0.246449,0.699770
1677110250,48348108,0.485793,0.540805,0.446313,0.663075,0.101966,0.246854,0.699284
