,summary,config,name
0,"{'_wandb': {'runtime': 19}, 'num_batches_seen': 2400, 'test_noiselessRMSE': 1.359280347824097, 'train/learned_dec_log_variance': -4.605170249938965, 'train_KLD': 31.750856399536133, '_timestamp': 1695420624.391419, 'train_curv_loss': 0, '_runtime': 21.28290581703186, 'test_alignedRMSE': 0.8015331029891968, 'train_alignedRMSE': 0.8001185059547424, 'train_time_weight_loss': 0, 'train_time_endpoint_loss': 0, 'train/dec_spatial_derivative_loss': 3501.525146484375, '_step': 23, 'train_RMSE': 1.384829878807068, 'train_noiselessRMSE': 1.384694218635559, 'train/dec_weight_loss': 0.10233622044324876, 'train/mean_square_emb': 25.083465576171875}","{'beta': 1e-12, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-181003.085055/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 3, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-181003.085055/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",bright-aardvark-528
1,"{'train/dec_spatial_derivative_loss': 9060.7724609375, '_timestamp': 1695420599.611698, 'train_RMSE': 0.9223557114601136, 'train_curv_loss': 0, 'num_batches_seen': 20000, 'train_time_weight_loss': 0, '_step': 199, '_runtime': 127.9587709903717, 'train_alignedRMSE': 0.6219853758811951, 'train/dec_weight_loss': 0.07730205357074738, 'test_noiselessRMSE': 1.0236148834228516, 'train/mean_square_emb': 28.790468215942383, 'train_time_endpoint_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, '_wandb': {'runtime': 126}, 'train_KLD': 52.458621978759766, 'test_alignedRMSE': 0.6345641016960144, 'train_noiselessRMSE': 0.9223394989967346}","{'beta': 1e-07, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-180751.630624/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 3, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-180751.630624/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",jolly-frost-527
2,"{'num_batches_seen': 20000, 'test_alignedRMSE': 0.6316953301429749, 'train_alignedRMSE': 0.6218333840370178, 'test_noiselessRMSE': 1.023901343345642, 'train_noiselessRMSE': 0.9219022393226624, 'train/dec_spatial_derivative_loss': 9639.2939453125, 'train_curv_loss': 0, 'train_RMSE': 0.9219177961349488, 'train/mean_square_emb': 26.748979568481445, 'train_time_endpoint_loss': 0, '_runtime': 127.17872714996338, 'train_KLD': 28.826480865478516, '_timestamp': 1695420468.3791442, 'train_time_weight_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, '_step': 199, 'train/dec_weight_loss': 0.08376935869455338, '_wandb': {'runtime': 125}}","{'beta': 0.001, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-180541.177790/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 3, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-180541.177790/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",happy-breeze-525
3,"{'_step': 199, 'train_RMSE': 0.922200322151184, 'num_batches_seen': 20000, 'train/dec_weight_loss': 0.08653006702661514, 'train_time_weight_loss': 0, 'train_time_endpoint_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, 'train_curv_loss': 0, 'test_noiselessRMSE': 1.023866891860962, 'train_noiselessRMSE': 0.9220987558364868, '_runtime': 127.67777895927428, 'train_KLD': 22.1564884185791, '_timestamp': 1695420336.561178, 'test_alignedRMSE': 0.6330166459083557, 'train/mean_square_emb': 22.59662437438965, 'train/dec_spatial_derivative_loss': 11602.1083984375, '_wandb': {'runtime': 126}, 'train_alignedRMSE': 0.6222568154335022}","{'beta': 0.01, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-180328.860622/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 3, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-180328.860622/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",crimson-galaxy-524
4,"{'_timestamp': 1695420204.6743617, 'train_curv_loss': 0, 'test_alignedRMSE': 0.7311112880706787, 'test_noiselessRMSE': 1.225616216659546, 'train/learned_dec_log_variance': -4.605170249938965, '_step': 199, 'train/mean_square_emb': 19.03382873535156, 'train_RMSE': 1.1777260303497314, 'num_batches_seen': 20000, 'train_noiselessRMSE': 1.1777218580245972, 'train/dec_weight_loss': 0.12776100635528564, 'train_time_weight_loss': 0, 'train_time_endpoint_loss': 0, 'train/dec_spatial_derivative_loss': 6339.7080078125, '_wandb': {'runtime': 113}, '_runtime': 115.35247564315796, 'train_KLD': 36.061893463134766, 'train_alignedRMSE': 0.728288471698761}","{'beta': 1e-12, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-180129.302210/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 2, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-180129.302210/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",chocolate-vortex-523
5,"{'train_time_weight_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, '_runtime': 115.45491671562196, 'train_KLD': 34.495357513427734, 'train_RMSE': 1.1758216619491575, 'num_batches_seen': 20000, 'test_alignedRMSE': 0.7468283772468567, 'train/dec_weight_loss': 0.11588020622730257, 'train/dec_spatial_derivative_loss': 5357.15185546875, '_step': 199, 'train_curv_loss': 0, 'test_noiselessRMSE': 1.2156604528427124, '_wandb': {'runtime': 114}, '_timestamp': 1695420085.2341478, 'train_alignedRMSE': 0.7402912378311157, 'train_noiselessRMSE': 1.1758170127868652, 'train/mean_square_emb': 17.107421875, 'train_time_endpoint_loss': 0}","{'beta': 1e-07, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-175929.756874/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 2, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-175929.756874/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",usual-surf-522
6,"{'_step': 199, 'train_curv_loss': 0, 'test_noiselessRMSE': 1.2202513217926023, 'train_noiselessRMSE': 1.1755200624465942, '_timestamp': 1695419966.0109186, 'train/mean_square_emb': 17.5340633392334, 'train_time_endpoint_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, 'test_alignedRMSE': 0.7329680323600769, 'train_alignedRMSE': 0.7297983765602112, 'train_time_weight_loss': 0, 'train/dec_spatial_derivative_loss': 5881.51513671875, '_wandb': {'runtime': 115}, 'train_KLD': 19.481515884399418, 'train_RMSE': 1.1755294799804688, 'num_batches_seen': 20000, '_runtime': 116.71688961982728, 'train/dec_weight_loss': 0.11340761929750444}","{'beta': 0.001, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-175729.267447/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 2, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-175729.267447/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",divine-brook-521
7,"{'train/dec_weight_loss': 0.12946222722530365, 'train/mean_square_emb': 15.073816299438477, 'train_time_weight_loss': 0, '_step': 199, 'train_curv_loss': 0, 'test_alignedRMSE': 0.735450267791748, 'num_batches_seen': 20000, 'train_alignedRMSE': 0.732601523399353, 'train/dec_spatial_derivative_loss': 5384.14208984375, 'train_noiselessRMSE': 1.1741044521331787, '_wandb': {'runtime': 115}, '_timestamp': 1695419845.5625374, 'test_noiselessRMSE': 1.2151206731796265, 'train_time_endpoint_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, '_runtime': 116.79220533370972, 'train_KLD': 15.245318412780762, 'train_RMSE': 1.1741485595703125}","{'beta': 0.01, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-175528.744849/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 2, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-175528.744849/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",glad-dust-520
8,"{'train/learned_dec_log_variance': -4.605170249938965, 'train/dec_spatial_derivative_loss': 6094.8330078125, 'test_noiselessRMSE': 0.4579538106918335, 'train/mean_square_emb': 114.012451171875, 'train_time_weight_loss': 0, 'train_time_endpoint_loss': 0, 'train_curv_loss': 0, 'test_alignedRMSE': 0.3538125157356262, '_step': 199, 'train_KLD': 153.78602600097656, '_timestamp': 1695419725.0945249, 'train_noiselessRMSE': 0.40344950556755066, 'train_alignedRMSE': 0.31255796551704407, 'train/dec_weight_loss': 0.034938544034957886, '_wandb': {'runtime': 128}, '_runtime': 129.59981179237366, 'train_RMSE': 0.40346601605415344, 'num_batches_seen': 20000}","{'beta': 1e-12, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-175315.472525/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 8, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-175315.472525/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",lemon-durian-519
9,"{'train_alignedRMSE': 0.3129388988018036, 'train_time_weight_loss': 0, 'train_time_endpoint_loss': 0, 'train/learned_dec_log_variance': -4.605170249938965, '_wandb': {'runtime': 127}, 'train_KLD': 152.54409790039062, 'num_batches_seen': 20000, 'train/dec_weight_loss': 0.03457213193178177, '_step': 199, 'train_noiselessRMSE': 0.4034373164176941, 'train/mean_square_emb': 113.18692016601562, 'train/dec_spatial_derivative_loss': 5097.025390625, '_timestamp': 1695419592.179371, 'train_RMSE': 0.4034644067287445, 'train_curv_loss': 0, 'test_alignedRMSE': 0.35380563139915466, 'test_noiselessRMSE': 0.45693904161453247, '_runtime': 129.06862616539}","{'beta': 1e-07, 'dtype': 'torch.float32', 'device': 'cpu', 'logname': 'results/linearvae/20230922-175103.087853/log', 'useAdam': True, 'datafile': 'data/trainTest2DLetterAScaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 8, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'decoder_name': 'convolutional_decoder', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': 'results/linearvae/20230922-175103.087853/savedmodel', 'step_each_batch': True, 'dec_conv_use_elu': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'ReLU', 'log_to_wandb_name': 'linearvae', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'curv_loss_epsilon_scale': 0.01, 'emb_conv_layers_strides': [], 'emb_dropout_probability': 0, 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_strides': [], 'dec_gen_conv_layers_channels': [], 'emb_conv_layers_kernel_sizes': [], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'curv_loss_divide_by_zero_epsilon': 1e-07, 'dec_complicated_only_side_latent': True, 'dec_gen_conv_layers_kernel_sizes': [], 'training_data_added_timing_noise': 0, 'curv_loss_num_new_sampling_points': 1000, 'dec_spatial_regularization_factor': 1, 'dec_template_use_custom_initialization': False, 'dec_template_custom_initialization_grad_t': 0, 'decoding_spatial_derivative_regularization': 0, 'dec_template_custom_initialization_t_intercept_padding': 0.1}",wise-moon-517
