,summary,config,name
0,{},"{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-145453.300658/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 4, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-145453.300658/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",ancient-shape-2504
1,"{'_wandb': {'runtime': 769}, '_step': 199, '_runtime': 770.9460318088531, 'train_KLD': 0, '_timestamp': 1699818887.478947, 'train_RMSE': 0.06104410067200661, 'num_batches_seen': 20000, 'train_alignedRMSE': 0.04411599785089493, 'test_noiselessRMSE': 0.11283838748931883, 'train/dec_weight_loss': 0.02028695121407509, 'train/mean_square_emb': 0, 'test_alignedRMSE': 0.09443598240613936, 'train/learned_dec_log_variance': -4.605170249938965, 'train/dec_spatial_derivative_loss': 0, 'train_noiselessRMSE': 0.04911402612924576}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-144156.513566/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 12, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-144156.513566/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",lively-deluge-2503
2,"{'_runtime': 769.6628651618958, 'train/dec_weight_loss': 0.04279494285583496, '_step': 199, '_wandb': {'runtime': 768}, 'train_KLD': 0, '_timestamp': 1699818111.3839352, 'train_RMSE': 0.15210968255996704, 'train_noiselessRMSE': 0.1442551165819168, 'train_alignedRMSE': 0.12903712689876556, 'train/learned_dec_log_variance': -4.605170249938965, 'train/dec_spatial_derivative_loss': 0, 'num_batches_seen': 20000, 'test_alignedRMSE': 0.20621801912784576, 'test_noiselessRMSE': 0.23981885612010956, 'train/mean_square_emb': 0}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-142901.701076/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 3, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-142901.701076/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",copper-surf-2502
3,"{'_step': 199, '_wandb': {'runtime': 768}, 'num_batches_seen': 20000, 'train/mean_square_emb': 0, 'train_KLD': 0, '_timestamp': 1699817336.248053, 'train_alignedRMSE': 0.19265125691890717, 'test_noiselessRMSE': 0.285861998796463, 'train/dec_spatial_derivative_loss': 0, 'train_RMSE': 0.22057878971099856, '_runtime': 769.3873670101166, 'test_alignedRMSE': 0.2528248429298401, 'train_noiselessRMSE': 0.20485031604766848, 'train/dec_weight_loss': 0.04960829019546509, 'train/learned_dec_log_variance': -4.605170249938965}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-141606.838785/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 2, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-141606.838785/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",rose-feather-2501
4,"{'_step': 199, '_wandb': {'runtime': 770}, 'num_batches_seen': 20000, 'train_noiselessRMSE': 0.07453089207410812, 'train/dec_weight_loss': 0.02652628906071186, 'train/mean_square_emb': 0, '_runtime': 772.126460313797, 'train_KLD': 0, '_timestamp': 1699816562.1427753, 'train/learned_dec_log_variance': -4.605170249938965, 'train_RMSE': 0.08277753740549088, 'test_alignedRMSE': 0.12640061974525452, 'test_noiselessRMSE': 0.1645357608795166, 'train_alignedRMSE': 0.062798872590065, 'train/dec_spatial_derivative_loss': 0}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-140309.993993/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 8, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-140309.993993/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",revived-wood-2500
5,"{'_step': 199, '_wandb': {'runtime': 769}, 'train_RMSE': 0.3006117045879364, 'test_alignedRMSE': 0.34186774492263794, 'train/dec_spatial_derivative_loss': 0, '_runtime': 770.853089094162, 'train_KLD': 0, '_timestamp': 1699815786.007595, 'num_batches_seen': 20000, 'train_alignedRMSE': 0.26743313670158386, 'train_noiselessRMSE': 0.27892255783081055, 'train/dec_weight_loss': 0.058604564517736435, 'train/mean_square_emb': 0, 'train/learned_dec_log_variance': -4.605170249938965, 'test_noiselessRMSE': 0.38214483857154846}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-135015.135371/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 1, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-135015.135371/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",bumbling-shadow-2499
6,"{'_step': 199, 'train_KLD': 0, 'test_noiselessRMSE': 0.0851227417588234, '_wandb': {'runtime': 767}, 'train_RMSE': 0.05415590479969978, 'num_batches_seen': 20000, 'train/mean_square_emb': 0, 'train/learned_dec_log_variance': -4.605170249938965, 'train/dec_spatial_derivative_loss': 0, '_timestamp': 1699815009.316468, 'train_alignedRMSE': 0.03848222270607948, 'train_noiselessRMSE': 0.042743634432554245, '_runtime': 769.0141339302063, 'test_alignedRMSE': 0.07000640779733658, 'train/dec_weight_loss': 0.016468718647956848}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-133720.200014/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 16, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-133720.200014/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",olive-bush-2498
7,"{'_step': 199, '_wandb': {'runtime': 766}, '_runtime': 767.7372012138367, 'train_KLD': 0, 'num_batches_seen': 20000, 'test_alignedRMSE': 0.14894595742225647, 'train_RMSE': 0.10996181517839432, 'train_alignedRMSE': 0.08427945524454117, 'train/mean_square_emb': 0, 'train/dec_spatial_derivative_loss': 0, 'train_noiselessRMSE': 0.09410091489553452, 'train/dec_weight_loss': 0.03404904156923294, '_timestamp': 1699814235.1056082, 'test_noiselessRMSE': 0.17967233061790466, 'train/learned_dec_log_variance': -4.605170249938965}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-132427.345844/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 5, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-132427.345844/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",comic-sea-2497
8,"{'train_RMSE': 0.05657052993774414, 'train_alignedRMSE': 0.04158104211091995, 'test_noiselessRMSE': 0.09297802299261092, 'train/dec_weight_loss': 0.01808669790625572, 'train/learned_dec_log_variance': -4.605170249938965, 'train_KLD': 0, 'test_alignedRMSE': 0.07595161348581314, '_timestamp': 1699813462.066239, 'num_batches_seen': 20000, 'train/mean_square_emb': 0, '_step': 199, '_runtime': 771.4633040428162, 'train_noiselessRMSE': 0.04523882269859314, 'train/dec_spatial_derivative_loss': 0, '_wandb': {'runtime': 770}}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-131130.584224/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 14, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-131130.584224/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",chocolate-water-2496
9,"{'train/learned_dec_log_variance': -4.605170249938965, '_step': 199, 'train/mean_square_emb': 0, 'train/dec_weight_loss': 0.031181663274765015, 'train_KLD': 0, 'train_noiselessRMSE': 0.08552863448858261, 'train_RMSE': 0.09306151419878006, 'test_alignedRMSE': 0.15015609562397003, 'train_alignedRMSE': 0.07147317379713058, 'test_noiselessRMSE': 0.19501012563705444, '_runtime': 769.8749866485596, '_timestamp': 1699812685.6394866, 'train/dec_spatial_derivative_loss': 0, '_wandb': {'runtime': 768}, 'num_batches_seen': 20000}","{'dtype': 'torch.float32', 'ria_T': 199, 'device': 'cuda', 'logname': '../results/rescaledreviewfeedback/20231112-125835.742449/log', 'useAdam': True, 'datafile': '../data/trainTest2DLetterARescaled.npz', 'traj_len': 200, 'batch_size': 64, 'latent_dim': 6, 'num_epochs': 20000, 'dec_use_elu': True, 'decoding_lr': 0.0001, 'encoding_lr': 0.0001, 'dec_use_tanh': True, 'decoder_name': 'convolutional_decoder_upsampling', 'decoding_eps': 0.0001, 'encoder_name': 'convolutional_encoder', 'encoding_eps': 0.0001, 'traj_channels': 2, 'model_save_dir': '../results/rescaledreviewfeedback/20231112-125835.742449/savedmodel', 'step_each_batch': True, 'dec_use_softplus': False, 'emb_nonlinearity': 'Tanh', 'log_to_wandb_name': 'rescaledreviewfeedback', 'dec_conv1d_padding': 'same', 'emb_conv1d_padding': 'same', 'scalar_timewarping_lr': 0, 'dec_gen_first_traj_len': 200, 'learn_decoder_variance': False, 'scalar_timewarper_name': 'identity_scalar_timewarper', 'scalar_timewarping_eps': 1e-06, 'vector_timewarper_name': 'identity_vector_timewarper', 'emb_activate_last_layer': True, 'emb_conv_layers_strides': [1, 1, 1], 'curv_loss_penalty_weight': 0, 'decoding_l2_weight_decay': 0, 'emb_conv_layers_channels': [32, 32, 32], 'pre_time_learning_epochs': 0, 'scalar_timewarper_timereg': 0, 'scaltw_max_canonical_time': 1, 'scaltw_min_canonical_time': 0, 'dec_gen_upsampling_factors': [1, 1, 1], 'emb_fc_layers_num_features': [], 'dec_gen_conv_layers_channels': [32, 32, 2], 'emb_conv_layers_kernel_sizes': [16, 16, 16], 'scalar_timewarper_endpointreg': 0, 'dec_gen_fc_layers_num_features': [6400], 'dec_initial_log_noise_estimate': -4.605170185988091, 'use_rate_invariant_autoencoder': True, 'dec_gen_conv_layers_kernel_sizes': [16, 16, 16], 'training_data_added_timing_noise': 0.1, 'dec_spatial_regularization_factor': 1, 'decoding_spatial_derivative_regularization': 0}",summer-forest-2495
